dataset,budget_ms,seed,method,certificate,eb-nocorrection,point-estimate,posthoc-oracle,realized,ndcg10
fiqa,160.0,17,CostGreedy-cal,,0.3243525728262472,0.0016622230999637929,0.0,0.0,0.7099445517135625
fiqa,160.0,17,Static-Qwen3,,0.31776948056735577,0.0,0.0,0.0,0.7099445517135625
fiqa,160.0,17,Static-SPLADE,,0.31776948056735577,0.0,0.0,0.0,0.5983026197257808
fiqa,160.0,17,Static-ColBERTv2,,0.6042609360803258,0.19723783138417283,0.1668806161745828,0.1668806161745828,0.5772995198647266
fiqa,160.0,17,Static-E5,,0.31776948056735577,0.0,0.0,0.0,0.5488683519681298
fiqa,160.0,23,CWC,0.3560796044087941,0.26641292926702026,0.001728547490960402,0.0012787723785166241,0.0012787723785166241,0.7321925408536971
fiqa,160.0,23,StaticBest-cal,,0.2595671649366391,0.0,0.0012787723785166241,0.0012787723785166241,0.7321925408536971
fiqa,160.0,23,CostGreedy-cal,,0.26641292926702026,0.001728547490960402,0.0012787723785166241,0.0012787723785166241,0.7321925408536971
fiqa,160.0,23,Static-Qwen3,,0.2595671649366391,0.0,0.0012787723785166241,0.0012787723785166241,0.7321925408536971
fiqa,160.0,23,Static-SPLADE,,0.2595671649366391,0.0,0.0,0.0,0.6275363983511955
fiqa,160.0,23,Static-ColBERTv2,,0.5010306664129989,0.17952099990177076,0.1815856777493606,0.1815856777493606,0.6050684703860351
fiqa,160.0,23,Static-E5,,0.2595671649366391,0.0,0.0,0.0,0.5727542447402736
fiqa,160.0,29,CWC,0.3806549492337181,0.273570702568952,0.0,0.002506265664160401,0.002506265664160401,0.7213521099798316
fiqa,160.0,29,StaticBest-cal,,0.273570702568952,0.0,0.002506265664160401,0.002506265664160401,0.7213521099798316
fiqa,160.0,29,CostGreedy-cal,,0.273570702568952,0.0,0.002506265664160401,0.002506265664160401,0.7213521099798316
fiqa,160.0,29,Static-Qwen3,,0.273570702568952,0.0,0.0012531328320802004,0.0012531328320802004,0.7213521099798316
fiqa,160.0,29,Static-SPLADE,,0.273570702568952,0.0,0.0,0.0,0.6248678330053989
fiqa,160.0,29,Static-ColBERTv2,,0.5791007052919325,0.19955312139080383,0.17669172932330826,0.17669172932330826,0.6045440566382655
fiqa,160.0,29,Static-E5,,0.273570702568952,0.0,0.0,0.0,0.5686527647674817
fiqa,160.0,31,CWC,0.3410342090976302,0.2517391774807573,0.0,0.002472187886279357,0.002472187886279357,0.7238211662308368
fiqa,160.0,31,StaticBest-cal,,0.2517391774807573,0.0,0.002472187886279357,0.002472187886279357,0.7238211662308368
fiqa,160.0,31,CostGreedy-cal,,0.2517391774807573,0.0,0.002472187886279357,0.002472187886279357,0.7238211662308368
fiqa,160.0,31,Static-Qwen3,,0.2517391774807573,0.0,0.0012360939431396785,0.0012360939431396785,0.7238211662308368
fiqa,160.0,31,Static-SPLADE,,0.2517391774807573,0.0,0.0,0.0,0.6167311331860953
fiqa,160.0,31,Static-ColBERTv2,,0.5799965480219691,0.19161534835206037,0.17799752781211373,0.17799752781211373,0.5991223177128441
fiqa,160.0,31,Static-E5,,0.2517391774807573,0.0,0.0,0.0,0.5658096355260593
nfcorpus,80.0,13,CWC,0.7259967512750666,0.21047805894156707,0.005861051221401211,0.0021141649048625794,0.0021141649048625794,0.3390794484449071
nfcorpus,80.0,13,StaticBest-cal,,0.18726586743405346,0.0,0.0,0.0,0.33607837452430717
nfcorpus,80.0,13,CostGreedy-cal,,0.21047805894156707,0.005861051221401211,0.004228329809725159,0.004228329809725159,0.32541789796937615
nfcorpus,80.0,13,Static-Qwen3,,0.21047805894156707,0.005861051221401211,0.0021141649048625794,0.0021141649048625794,0.32541789796937615
nfcorpus,80.0,13,Static-SPLADE,,0.18726586743405346,0.0,0.0,0.0,0.33265958872947743
nfcorpus,80.0,13,Static-ColBERTv2,,0.8667122989329532,0.5434287614807992,0.9175475687103594,0.9175475687103594,0.3102320043251954
nfcorpus,80.0,13,Static-E5,,0.18726586743405346,0.0,0.0,0.0,0.32700604094566066
nfcorpus,80.0,17,CWC,0.8012541043442617,0.3159810841761139,0.003208705357142857,0.0,0.0,0.34040823971123796
nfcorpus,80.0,17,StaticBest-cal,,0.3032732813558242,0.0,0.004464285714285714,0.004464285714285714,0.33461696458755935
nfcorpus,80.0,17,CostGreedy-cal,,0.3159810841761139,0.003208705357142857,0.004464285714285714,0.004464285714285714,0.33461696458755935
nfcorpus,80.0,17,Static-Qwen3,,0.3032732813558242,0.0,0.004464285714285714,0.004464285714285714,0.33461696458755935
nfcorpus,80.0,17,Static-SPLADE,,0.3032732813558242,0.0,0.0,0.0,0.3491914015442089
nfcorpus,80.0,17,Static-ColBERTv2,,0.8893750917377045,0.7306547619047619,0.9129464285714286,0.9129464285714286,0.3241995959393479
nfcorpus,80.0,17,Static-E5,,0.3032732813558242,0.0,0.0,0.0,0.3372538981747722
nfcorpus,80.0,23,CWC,0.6548756730333922,0.34686520467591997,0.0,0.0,0.0,0.3373495234777263
nfcorpus,80.0,23,StaticBest-cal,,0.4142222866617894,0.01700758446334176,0.002183406113537118,0.002183406113537118,0.3382214986110847
nfcorpus,80.0,23,CostGreedy-cal,,0.4142222866617894,0.01700758446334176,0.002183406113537118,0.002183406113537118,0.3382214986110847
nfcorpus,80.0,23,Static-Qwen3,,0.4142222866617894,0.01700758446334176,0.002183406113537118,0.002183406113537118,0.3382214986110847
nfcorpus,80.0,23,Static-SPLADE,,0.34686520467591997,0.0,0.0,0.0,0.3484158856249461
