dataset,budget_ms,seed,method,certificate,eb-nocorrection,point-estimate,posthoc-oracle,realized,ndcg10
pooled,80.0,41,Static-SPLADE,,0.02024970328806977,0.001318241605688271,0.0020211093644733886,0.0020211093644733886,0.5500334593415651
pooled,80.0,41,Static-ColBERTv2,,0.5350066706593153,0.5007851593299606,0.8762487914921044,0.8762487914921044,0.6193846428356592
pooled,80.0,41,Static-E5,,0.019814983651199165,0.0009195137198730282,0.0008982708286548395,0.0008982708286548395,0.40851633677508015
pooled,80.0,43,CWC,0.03697265959652675,0.015746933469025677,0.0,0.004827586206896552,0.004827586206896552,0.4470474170518803
pooled,80.0,43,StaticBest-cal,,0.0407362863492,0.013855389983248681,0.06666666666666667,0.06666666666666667,0.5988813430286787
pooled,80.0,43,CostGreedy-cal,,0.0407362863492,0.013855389983248681,0.06666666666666667,0.06666666666666667,0.5988813430286787
pooled,80.0,43,Static-Qwen3,,0.0407362863492,0.013855389983248681,0.06666666666666667,0.06666666666666667,0.5988813430286787
pooled,80.0,43,Static-SPLADE,,0.015746933469025677,0.0,0.0031854379977246873,0.0031854379977246873,0.5507624934868395
pooled,80.0,43,Static-ColBERTv2,,0.5438894748501697,0.5087334166420324,0.8827971109652003,0.8827971109652003,0.625248229078863
pooled,80.0,43,Static-E5,,0.021240737663543643,0.0017775881683731514,0.0006825938566552901,0.0006825938566552901,0.4082917386584231
pooled,80.0,47,CWC,0.05225487332369026,0.022984434200285314,0.0019791837799704283,0.008224049788841965,0.008224049788841965,0.5181911263662217
pooled,80.0,47,StaticBest-cal,,0.04984397821829146,0.019051328093861383,0.06601466992665037,0.06601466992665037,0.6050499749370174
pooled,80.0,47,CostGreedy-cal,,0.04984397821829146,0.019051328093861383,0.06601466992665037,0.06601466992665037,0.6050499749370174
pooled,80.0,47,Static-Qwen3,,0.04984397821829146,0.019051328093861383,0.06601466992665037,0.06601466992665037,0.6050499749370174
pooled,80.0,47,Static-SPLADE,,0.022201576430280336,0.0019698628054489564,0.002222716159146477,0.002222716159146477,0.5569021126922015
