mode,valid,budget_ms,seed,n_cells,n_eval,n_cal,n_sel,rho_mean,R_cert_bound,viol_certified,ndcg_certified,viol_static,ndcg_static,abstain_frac,deploy_signature,cert_upper_bounds_realized
selection,True,80.0,17,4,1549,518,518,2.740421813412085,0.2612385134651651,0.0006455777921239509,0.5762755316937521,0.11620400258231117,0.6285701501094293,0.2963202065848935,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rrf_dense_e5_base_v2_pre|external_splade_cocondenser_ensembledistil_post,True
as-released,False,80.0,23,4,1585,500,500,3.006778661492539,0.26682598222154597,0.0012618296529968455,0.608395000251441,0.11608832807570978,0.6368129297149656,0.0,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rerank_depth_100|external_qwen3_embedding_06b_pre,True
union,True,80.0,23,4,1585,500,500,3.006778661492539,0.28118880702208715,0.0012618296529968455,0.608395000251441,0.11608832807570978,0.6368129297149656,0.0,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rerank_depth_100|external_qwen3_embedding_06b_pre,True
selection,True,80.0,23,4,1585,500,500,3.006778661492539,0.26682598222154597,0.0006309148264984228,0.5896008320135762,0.11608832807570978,0.6368129297149656,0.3085173501577287,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rerank_depth_100|external_splade_cocondenser_ensembledistil_post,True
as-released,False,80.0,29,4,1584,501,500,2.858473358884451,0.26651288712467214,0.001893939393939394,0.6081470515975594,0.10795454545454546,0.6409832478797257,0.0,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post,True
union,True,80.0,29,4,1584,501,500,2.858473358884451,0.2960817090266817,0.001893939393939394,0.6081470515975594,0.10795454545454546,0.6409832478797257,0.0,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post,True
selection,True,80.0,29,4,1584,501,500,2.858473358884451,0.26651288712467214,0.001893939393939394,0.6081470515975594,0.10795454545454546,0.6409832478797257,0.0,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post,True
as-released,False,80.0,31,4,1608,489,488,3.1133329600928032,0.27519216331756535,0.0012437810945273632,0.5987543579416194,0.11069651741293532,0.633563978940921,0.0,external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_post|external_splade_cocondenser_ensembledistil_post,True
union,True,80.0,31,4,1608,489,488,3.1133329600928032,0.2916700892377128,0.0012437810945273632,0.5987543579416194,0.11069651741293532,0.633563978940921,0.0,external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_post|external_splade_cocondenser_ensembledistil_post,True
selection,True,80.0,31,4,1608,489,488,3.1133329600928032,0.27519216331756535,0.0006218905472636816,0.5805549239112083,0.11069651741293532,0.633563978940921,0.3246268656716418,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_post|external_splade_cocondenser_ensembledistil_post,True
