dataset,budget_ms,seed,method,certificate,eb-nocorrection,point-estimate,posthoc-oracle,realized,ndcg10
pooled,80.0,23,CWC,0.0823011886544745,0.04073838226158702,0.0003200173756726719,0.0035998971457958345,0.0035998971457958345,0.5795983000725875
pooled,80.0,23,StaticBest-cal,0.15824481275077226,0.11723933695696728,0.047369882300432285,0.06642728904847396,0.06642728904847396,0.6033802694559807
pooled,80.0,23,CostGreedy-cal,0.15824481275077226,0.11723933695696728,0.047369882300432285,0.06642728904847396,0.06642728904847396,0.6033802694559807
pooled,80.0,23,Static-Qwen3,0.15824481275077226,0.11723933695696728,0.047369882300432285,0.06642728904847396,0.06642728904847396,0.6033802694559807
pooled,80.0,23,Static-SPLADE,0.07498999066182435,0.03947098084685069,0.0,0.0031418312387791743,0.0031418312387791743,0.5510370778026369
pooled,80.0,23,Static-ColBERTv2,0.8600554118581054,0.6643893793784073,0.581478089362343,0.8791707159054097,0.8791707159054097,0.629417372721652
pooled,80.0,23,Static-E5,0.08282460751822315,0.0473055977032495,0.0019782315978456016,0.0011220825852782765,0.0011220825852782765,0.4111601625104104
pooled,80.0,29,CWC,0.06495153521895229,0.038583857458070546,0.0003285597752197952,0.0008329862557267805,0.0008329862557267805,0.4519188524467854
pooled,80.0,29,StaticBest-cal,0.16058326791505964,0.1305653174811607,0.06065362025791534,0.06350267379679145,0.06350267379679145,0.6016832613249051
pooled,80.0,29,CostGreedy-cal,0.16058326791505964,0.1305653174811607,0.06065362025791534,0.06350267379679145,0.06350267379679145,0.6016832613249051
pooled,80.0,29,Static-Qwen3,0.16058326791505964,0.1305653174811607,0.06065362025791534,0.06350267379679145,0.06350267379679145,0.6016832613249051
pooled,80.0,29,Static-SPLADE,0.06070204286977261,0.0372826246013742,0.0,0.002896613190730838,0.002896613190730838,0.5499985042858595
pooled,80.0,29,Static-ColBERTv2,0.8037900328510023,0.6659285783455725,0.5889693942267453,0.8704713049054184,0.8704713049054184,0.6295495865803189
pooled,80.0,29,Static-E5,0.06898329637162662,0.04133543555555869,0.001023330028336286,0.0011140819964349377,0.0011140819964349377,0.41143009898642613
pooled,80.0,31,CWC,0.13187071173535575,0.08646763504291718,0.022268459546916915,0.02889405513118565,0.02889405513118565,0.6822013411235882
pooled,80.0,31,StaticBest-cal,0.18419993714920335,0.1355471151013673,0.05911148542095278,0.060989383329568554,0.060989383329568554,0.5989283532071419
pooled,80.0,31,CostGreedy-cal,0.18419993714920335,0.1355471151013673,0.05911148542095278,0.060989383329568554,0.060989383329568554,0.5989283532071419
pooled,80.0,31,Static-Qwen3,0.18419993714920335,0.1355471151013673,0.05911148542095278,0.060989383329568554,0.060989383329568554,0.5989283532071419
pooled,80.0,31,Static-SPLADE,0.08162200699293612,0.048542219699225016,0.0019232941217355044,0.002484752654167608,0.002484752654167608,0.549426507394236
pooled,80.0,31,Static-ColBERTv2,0.8227780482300686,0.6599825187312953,0.5787039737674873,0.887240356083086,0.887240356083086,0.6277111532948136
pooled,80.0,31,Static-E5,0.07400496530662808,0.04092517801291697,0.0,0.00112943302462164,0.00112943302462164,0.41180990660839883
