budget_ms,policy,drift_d,violation,mean_ms,p95_ms,throughput_qps,ndcg10
120.0,Fixed-rerank@50,0.0,0.000300593791304122,39.45280812695764,71.8875300424248,25.351159082620185,0.5211443797618365
120.0,Fixed-rerank@50,0.15,0.00041743620250202793,41.87085818734388,74.42175278329253,23.884926530532216,0.5229486038389611
120.0,Fixed-rerank@50,0.3,0.0003796766331772111,44.16345421303858,76.92429924587606,22.643875802610278,0.5267545201060873
120.0,Fixed-rerank@50,0.45,0.00035297500083606326,46.00487690970969,77.96262610679267,21.737549784419866,0.5300568186764844
120.0,SOTA-Qwen3,0.0,0.03542087490458719,40.40558907000095,107.57315264083437,24.752782013436278,0.6266479765236717
120.0,SOTA-Qwen3,0.15,0.040848951687565804,44.189603181869145,114.41409795545039,22.630927691256577,0.6299752364089197
120.0,SOTA-Qwen3,0.3,0.04669233215443336,47.73376899089389,117.4583967775106,20.95096385132283,0.6360650238878867
120.0,SOTA-Qwen3,0.45,0.05157050267849121,50.639459635749674,120.71588964201507,19.748366519909517,0.6417766996551192
120.0,SOTA-SPLADE,0.0,0.0,17.77154955985888,38.39287515729666,56.27140469228243,0.574006682908761
120.0,SOTA-SPLADE,0.15,0.0,19.448703563453417,39.78632926009595,51.420751442583835,0.5788597592873896
120.0,SOTA-SPLADE,0.3,0.0,20.902823868454625,40.235977172851555,47.84303214246115,0.5859839242434424
120.0,SOTA-SPLADE,0.45,0.0,22.0898824133808,41.0884013120085,45.27198370729376,0.591244660288268
120.0,StaticBest-cal,0.0,0.03542087490458719,40.40558907000095,107.57315264083437,24.752782013436278,0.6266479765236717
120.0,StaticBest-cal,0.15,0.040848951687565804,44.189603181869145,114.41409795545039,22.630927691256577,0.6299752364089197
120.0,StaticBest-cal,0.3,0.04669233215443336,47.73376899089389,117.4583967775106,20.95096385132283,0.6360650238878867
120.0,StaticBest-cal,0.45,0.05157050267849121,50.639459635749674,120.71588964201507,19.748366519909517,0.6417766996551192
