fraction,n_cells,delta,n_cal_mean,gamma_mean,R_cert,R_floor,R_statistical,Lhat,realized,ndcg,valid
0.5,3,0.05,227.0666666666667,3.4758595223398023,0.17464791821775177,0.010426078364491189,0.1642218398532606,0.00540390204265102,0.005838020644627576,0.5258182396516153,1.0
0.5,3,0.1,227.0666666666667,3.4758595223398023,0.15256205229527992,0.010426078364491189,0.14213597393078872,0.00540390204265102,0.005838020644627576,0.5258182396516153,1.0
0.5,4,0.05,170.3,3.635708463840414,0.20510460857398888,0.010444730885924423,0.19465987768806448,0.004062435777048863,0.005837810580011701,0.5252526836543087,1.0
0.5,4,0.1,170.3,3.635708463840414,0.18331934638546726,0.010444730885924423,0.17287461549954286,0.004062435777048863,0.005837810580011701,0.5252526836543087,1.0
0.75,2,0.05,520.8,2.396738537774194,0.06007478596341823,0.0028133012731016032,0.057261484690316625,0.0009995798333919544,0.003658702339531425,0.4223120096041361,1.0
0.75,2,0.1,520.8,2.396738537774194,0.05152559249516285,0.0028133012731016032,0.048712291222061256,0.0009995798333919544,0.003658702339531425,0.4223120096041361,1.0
0.75,3,0.05,347.2,3.070720311650971,0.10371491701243811,0.00570519151842339,0.09800972549401471,0.0038959424723790754,0.005862138494351644,0.5062836064383212,1.0
0.75,3,0.1,347.2,3.070720311650971,0.09035706757596722,0.00570519151842339,0.08465187605754385,0.0038959424723790754,0.005862138494351644,0.5062836064383212,1.0
0.75,4,0.05,260.4,4.5261025591712265,0.16006857050037118,0.005701385723724192,0.15436718477664696,0.00291970191798071,0.0058619938045031935,0.5056922098867564,1.0
0.75,4,0.1,260.4,4.5261025591712265,0.14215034187412756,0.005701385723724192,0.13644895615040337,0.00291970191798071,0.0058619938045031935,0.5056922098867564,1.0
1.0,2,0.05,688.0,2.416596075475615,0.04350429958007951,0.0015154238576384673,0.041988875722441046,0.00039262924423459796,0.003141620063721038,0.4457936593439345,1.0
1.0,2,0.1,688.0,2.416596075475615,0.03715270655287266,0.0015154238576384673,0.035637282695234196,0.00039262924423459796,0.003141620063721038,0.4457936593439345,1.0
1.0,3,0.05,458.6666666666667,2.5670418713763334,0.08091214154717988,0.007926836991886366,0.07298530455529353,0.0051671562293237735,0.008277552161604283,0.5523097853729083,1.0
1.0,3,0.1,458.6666666666667,2.5670418713763334,0.07125447114244549,0.007926836991886366,0.06332763415055913,0.0051671562293237735,0.008277552161604283,0.5523097853729083,1.0
1.0,4,0.05,344.0,2.4541666540638527,0.10073982421807277,0.007804317087124544,0.09293550713094823,0.003889420712116649,0.008279240888020522,0.5513743400482506,1.0
1.0,4,0.1,344.0,2.4541666540638527,0.08978547103675787,0.007804317087124544,0.08198115394963332,0.003889420712116649,0.008279240888020522,0.5513743400482506,1.0
